id;name;street;number;zip;city;country_code
1;models CFP Franc Human;Marquise Ford;76591;Configuration;New Kenyonburgh;SO
2;networks experiences Sports;Deven Circles;68374;Passage optical Customer;South Thalia;CC
3;Mandatory Berkshire;Rodriguez Burgs;28260;Savings Account;Robelberg;CC
4;Credit Card Account;Melvin Court;17893;Chile;East Lucile;RW
5;indexing Ports;Chauncey Ways;52156;North Dakota solution Incredible;Tyreekview;FR
6;hacking;Lesch Forges;88780;grow override Personal Loan Account;Moshetown;MG
7;contextually-based;Simonis Ridges;76577;National National Avon;Wilhelmstad;SY
8;Assimilated transmit SCSI;Hoppe Canyon;48004;USB;Dandrechester;JE
9;Bacon withdrawal;Schuyler Garden;74980;National;Spencerchester;BD
10;JBOD invoice;Leo Views;20287;motivating;Mohrmouth;VU
