id;first_name;last_name;email;phone_number;hire_date;salary;branch
1;Breanna;Carroll;Patsy.Grimes@yahoo.com;array;2020-10-04T22:28:53;70140;WAW
2;Marvin;Nicolas;Willard_Nienow@gmail.com;Marshall Islands SSL;2020-10-05T02:15:47;84633;WAW
3;Vivien;Streich;Tressie52@yahoo.com;Computers EXE;2020-10-04T16:18:11;751;SZC
4;Ezekiel;Blick;Karlie47@hotmail.com;Robust;2020-10-04T23:04:37;63104;POZ
5;Lizzie;Hammes;Marjory_Wolff13@yahoo.com;Fresh Orchestrator Handcrafted;2020-10-05T10:20:00;93029;POZ
6;Jaylan;Bergstrom;Maryam9@gmail.com;Awesome fuchsia Handmade Steel Salad;2020-10-05T10:37:18;53631;SZC
7;Casper;Homenick;Claudia15@hotmail.com;Suriname;2020-10-05T06:24:38;89793;WAW
8;Aglae;Brakus;Tabitha.Klocko@gmail.com;Soft Small Steel Gloves;2020-10-04T21:17:02;64495;SZC
9;Art;Schaefer;Bella_Kulas@gmail.com;Global SMTP;2020-10-04T22:53:12;99964;WAW
10;Emmanuelle;Hansen;Reginald_Kshlerin@gmail.com;Sports reintermediate Fantastic;2020-10-05T08:43:18;22709;WAW
